pokemon_stats_id,pokemon_id,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed
1,1,45,49,49,65,65,45
2,2,60,62,63,80,80,60
3,3,80,82,83,100,100,80
4,4,39,52,43,60,50,65
5,5,58,64,58,80,65,80
6,6,78,84,78,109,85,100
7,7,44,48,65,50,64,43
8,8,59,63,80,65,80,58
9,9,79,83,100,85,105,78
10,10,45,30,35,20,20,45
11,11,50,20,55,25,25,30
12,12,60,45,50,90,80,70
13,13,40,35,30,20,20,50
14,14,45,25,50,25,25,35
15,15,65,90,40,45,80,75
16,16,40,45,40,35,35,56
17,17,63,60,55,50,50,71
18,18,83,80,75,70,70,101
19,19,30,56,35,25,35,72
20,20,55,81,60,50,70,97
21,21,40,60,30,31,31,70
22,22,65,90,65,61,61,100
23,23,35,60,44,40,54,55
24,24,60,85,69,65,79,80
25,25,35,55,40,50,50,90
26,26,60,90,55,90,80,110
27,27,50,75,85,20,30,40
28,28,75,100,110,45,55,65
29,29,55,47,52,40,40,41
30,30,70,62,67,55,55,56
31,31,90,92,87,75,85,76
32,32,46,57,40,40,40,50
33,33,61,72,57,55,55,65
34,34,81,102,77,85,75,85
35,35,70,45,48,60,65,35
36,36,95,70,73,95,90,60
37,37,38,41,40,50,65,65
38,38,73,76,75,81,100,100
39,39,115,45,20,45,25,20
40,40,140,70,45,85,50,45
41,41,40,45,35,30,40,55
42,42,75,80,70,65,75,90
43,43,45,50,55,75,65,30
44,44,60,65,70,85,75,40
45,45,75,80,85,110,90,50
46,46,35,70,55,45,55,25
47,47,60,95,80,60,80,30
48,48,60,55,50,40,55,45
49,49,70,65,60,90,75,90
50,50,10,55,25,35,45,95
51,51,35,80,50,50,70,120
52,52,40,45,35,40,40,90
53,53,65,70,60,65,65,115
54,54,50,52,48,65,50,55
55,55,80,82,78,95,80,85
56,56,40,80,35,35,45,70
57,57,65,105,60,60,70,95
58,58,55,70,45,70,50,60
59,59,90,110,80,100,80,95
60,60,40,50,40,40,40,90
61,61,65,65,65,50,50,90
62,62,90,95,95,70,90,70
63,63,25,20,15,105,55,90
64,64,40,35,30,120,70,105
65,65,55,50,45,135,95,120
66,66,70,80,50,35,35,35
67,67,80,100,70,50,60,45
68,68,90,130,80,65,85,55
69,69,50,75,35,70,30,40
70,70,65,90,50,85,45,55
71,71,80,105,65,100,70,70
72,72,40,40,35,50,100,70
73,73,80,70,65,80,120,100
74,74,40,80,100,30,30,20
75,75,55,95,115,45,45,35
76,76,80,120,130,55,65,45
77,77,50,85,55,65,65,90
78,78,65,100,70,80,80,105
79,79,90,65,65,40,40,15
80,80,95,75,110,100,80,30
81,81,25,35,70,95,55,45
82,82,50,60,95,120,70,70
83,83,52,65,55,58,62,60
84,84,35,85,45,35,35,75
85,85,60,110,70,60,60,100
86,86,65,45,55,45,70,45
87,87,90,70,80,70,95,70
88,88,80,80,50,40,50,25
89,89,105,105,75,65,100,50
90,90,30,65,100,45,25,40
91,91,50,95,180,85,45,70
92,92,30,35,30,100,35,80
93,93,45,50,45,115,55,95
94,94,60,65,60,130,75,110
95,95,35,45,160,30,45,70
96,96,60,48,45,43,90,42
97,97,85,73,70,73,115,67
98,98,30,105,90,25,25,50
99,99,55,130,115,50,50,75
100,100,40,30,50,55,55,100
101,101,60,50,70,80,80,140
102,102,60,40,80,60,45,40
103,103,95,95,85,125,65,55
104,104,50,50,95,40,50,35
105,105,60,80,110,50,80,45
106,106,50,120,53,35,110,87
107,107,50,105,79,35,110,76
108,108,90,55,75,60,75,30
109,109,40,65,95,60,45,35
110,110,65,90,120,85,70,60
111,111,80,85,95,30,30,25
112,112,105,130,120,45,45,40
113,113,250,5,5,35,105,50
114,114,65,55,115,100,40,60
115,115,105,95,80,40,80,90
116,116,30,40,70,70,25,60
117,117,55,65,95,95,45,85
118,118,45,67,60,35,50,63
119,119,80,92,65,65,80,68
120,120,30,45,55,70,55,85
121,121,60,75,85,100,85,115
122,122,40,45,65,100,120,90
123,123,70,110,80,55,80,105
124,124,65,50,35,115,95,95
125,125,65,83,57,95,85,105
126,126,65,95,57,100,85,93
127,127,65,125,100,55,70,85
128,128,75,100,95,40,70,110
129,129,20,10,55,15,20,80
130,130,95,125,79,60,100,81
131,131,130,85,80,85,95,60
132,132,48,48,48,48,48,48
133,133,55,55,50,45,65,55
134,134,130,65,60,110,95,65
135,135,65,65,60,110,95,130
136,136,65,130,60,95,110,65
137,137,65,60,70,85,75,40
138,138,35,40,100,90,55,35
139,139,70,60,125,115,70,55
140,140,30,80,90,55,45,55
141,141,60,115,105,65,70,80
142,142,80,105,65,60,75,130
143,143,160,110,65,65,110,30
144,144,90,85,100,95,125,85
145,145,90,90,85,125,90,100
146,146,90,100,90,125,85,90
147,147,41,64,45,50,50,50
148,148,61,84,65,70,70,70
149,149,91,134,95,100,100,80
150,150,106,110,90,154,90,130
151,151,100,100,100,100,100,100
